Region,Year,Category,Value,Criteria
Small Island Developing States (SIDS),2019,Total,36.4,Population covered by at least an LTE/WiMAX mobile network
World,2019,Total,4555.4,Population covered by at least an LTE/WiMAX mobile network
Low-income,2019,Total,197.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2019,Total,1359.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2019,Total,1832.9,Population covered by at least an LTE/WiMAX mobile network
High-income,2019,Total,1165.9,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2019,Total,396.0,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2019,Total,208.3,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2019,Total,35.1,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,6722.5,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,188.0,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,2491.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,2672.4,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,1370.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,484.1,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,214.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,46.2,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,721.9,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,0.0,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,13.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,47.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,661.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,0.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,1.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,6.0,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,3093.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,5.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,117.4,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,1547.1,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,1423.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,13.1,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,17.1,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,16.5,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,561.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,1.5,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,131.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,251.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,177.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,9.5,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,7.1,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,2.2,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,712.6,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,3.5,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,76.8,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,139.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,492.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,8.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,9.5,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,31.8,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,4618.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,125.2,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,1286.1,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,1975.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,1232.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,270.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,164.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,39.5,Population covered by at least an LTE/WiMAX mobile network
World,2020,Total,4824.3,Population covered by at least an LTE/WiMAX mobile network
Low-income,2020,Total,221.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2020,Total,1514.4,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2020,Total,1911.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2020,Total,1176.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2020,Total,430.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2020,Total,220.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2020,Total,37.5,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,6897.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,205.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,2622.5,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,2702.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,1366.8,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,516.5,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,239.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,48.4,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,1487.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,0.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,73.0,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,494.4,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,919.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,0.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,4.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,8.0,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,3896.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,4.6,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,188.9,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,1877.1,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,1822.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,15.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,22.9,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,20.4,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,747.6,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,1.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,181.3,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,340.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,223.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,13.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,9.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,3.5,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,970.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,4.3,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,136.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,179.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,649.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,11.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,12.3,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,43.6,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,4903.6,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,145.6,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,1414.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,2087.6,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,1255.6,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,313.8,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,182.3,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,41.1,Population covered by at least an LTE/WiMAX mobile network
World,2021,Total,5027.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2021,Total,244.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2021,Total,1628.9,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2021,Total,1971.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2021,Total,1183.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2021,Total,457.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2021,Total,236.5,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2021,Total,38.9,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,7160.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,285.3,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,2763.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,2731.7,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,1380.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,642.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,290.3,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,50.2,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,2561.9,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,3.7,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,167.5,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,1342.7,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,1047.9,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,6.6,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,9.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,16.0,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,4381.6,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,5.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,255.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,2030.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,2085.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,22.3,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,28.2,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,21.3,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,922.0,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,3.7,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,229.3,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,405.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,283.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,19.1,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,13.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,3.3,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,1196.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,5.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,183.5,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,219.4,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,785.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,16.3,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,15.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,53.9,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,5100.5,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,165.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,1498.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,2161.6,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,1274.9,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,347.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,200.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,41.6,Population covered by at least an LTE/WiMAX mobile network
World,2022,Total,5173.6,Population covered by at least an LTE/WiMAX mobile network
Low-income,2022,Total,268.3,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2022,Total,1692.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2022,Total,2017.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2022,Total,1195.6,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2022,Total,491.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2022,Total,253.9,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2022,Total,40.7,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,7397.0,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,354.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,2888.9,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,2760.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,1393.6,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,755.6,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,335.8,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,51.6,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,3599.9,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,6.7,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,833.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,1645.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,1114.6,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,16.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,16.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,17.0,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,5118.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,7.8,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,301.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,2400.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,2401.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,26.1,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,38.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,24.4,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,1074.0,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,4.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,269.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,439.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,360.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,23.3,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,18.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,4.3,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,1458.1,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,8.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,229.9,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,265.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,952.3,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,22.8,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,25.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,61.5,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,5281.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,179.8,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,1583.4,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,2221.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,1297.6,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,377.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,214.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,42.6,Population covered by at least an LTE/WiMAX mobile network
World,2023,Total,5298.4,Population covered by at least an LTE/WiMAX mobile network
Low-income,2023,Total,282.7,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2023,Total,1755.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2023,Total,2051.9,Population covered by at least an LTE/WiMAX mobile network
High-income,2023,Total,1208.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2023,Total,515.5,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2023,Total,265.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2023,Total,41.3,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,7486.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,393.3,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,2928.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,2768.8,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,1396.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,797.3,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,363.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,52.1,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,4179.9,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,26.3,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,1115.8,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,1853.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,1184.6,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,67.5,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,57.0,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,20.0,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,5965.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,9.8,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,382.3,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,2756.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,2808.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,34.0,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,50.8,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,32.0,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,1278.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,6.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,337.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,509.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,424.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,30.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,23.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,5.2,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,1778.5,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,12.2,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,301.5,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,330.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,1130.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,30.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,35.8,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,48.7,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,5508.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,200.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,1700.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,2291.0,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,1316.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,416.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,233.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,44.1,Population covered by at least an LTE/WiMAX mobile network
World,2024,Total,5434.4,Population covered by at least an LTE/WiMAX mobile network
Low-income,2024,Total,302.0,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2024,Total,1821.9,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2024,Total,2093.1,Population covered by at least an LTE/WiMAX mobile network
High-income,2024,Total,1218.4,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2024,Total,545.1,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2024,Total,280.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2024,Total,42.4,Population covered by at least an LTE/WiMAX mobile network
World,2005,Total,15.6,Population covered by at least an LTE/WiMAX mobile network
Low-income,2005,Total,0.8,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2005,Total,3.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2005,Total,10.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2005,Total,53.0,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2005,Total,0.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2005,Total,1.9,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2005,Total,13.1,Population covered by at least an LTE/WiMAX mobile network
World,2006,Total,17.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2006,Total,1.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2006,Total,4.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2006,Total,12.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2006,Total,55.8,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2006,Total,1.0,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2006,Total,2.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2006,Total,14.3,Population covered by at least an LTE/WiMAX mobile network
World,2007,Total,20.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2007,Total,2.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2007,Total,5.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2007,Total,16.6,Population covered by at least an LTE/WiMAX mobile network
High-income,2007,Total,61.4,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2007,Total,1.8,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2007,Total,3.2,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2007,Total,16.6,Population covered by at least an LTE/WiMAX mobile network
World,2008,Total,22.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2008,Total,2.5,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2008,Total,6.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2008,Total,21.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2008,Total,64.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2008,Total,2.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2008,Total,4.1,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2008,Total,18.0,Population covered by at least an LTE/WiMAX mobile network
World,2009,Total,25.3,Population covered by at least an LTE/WiMAX mobile network
Low-income,2009,Total,3.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2009,Total,7.8,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2009,Total,25.8,Population covered by at least an LTE/WiMAX mobile network
High-income,2009,Total,66.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2009,Total,2.6,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2009,Total,5.5,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2009,Total,20.2,Population covered by at least an LTE/WiMAX mobile network
World,2010,Total,28.4,Population covered by at least an LTE/WiMAX mobile network
Low-income,2010,Total,3.7,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2010,Total,10.4,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2010,Total,30.6,Population covered by at least an LTE/WiMAX mobile network
High-income,2010,Total,69.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2010,Total,3.3,Population covered by at least an LTE/WiMAX mobile network
